Year	Name	Born	Nationality	Age Award Given	Birth	Death	School Code	Biography	Website
1979	Philip Johnson	USA	USA	73	1906	2005	GSD	http://www.pritzkerprize.com/biography-philip-johnson	http://www.pjararchitects.com/
1980	Luis Barragan	Mexico	Mexico	78	1902	1988	ELI	http://www.pritzkerprize.com/1980/bio	http://www.barragan-foundation.org/
1981	James Stirling	UK	UK	55	1926	1992	LIV	http://www.pritzkerprize.com/1981/bio	na
1982	Kevin Roche	Ireland	USA	60	1922	na	"DUB,IIT"	http://www.pritzkerprize.com/1982/bio	http://www.krjda.com/
1983	I.M. Pei	China	USA	66	1917	na	"PEN,MIT,GSD"	http://www.pritzkerprize.com/1983/bio	http://www.pcfandp.com/
1984	Richard Meier	USA	USA	49	1934	na	COR	http://www.pritzkerprize.com/1984/bio	http://www.richardmeier.com/
1985	Hans Hollein	Austria	Austria	51	1934	2014	"AFA,IIT,UCB"	http://www.pritzkerprize.com/1985/bio	http://www.hollein.com/
1986	Gottfried Bohm	Germany	Germany	66	1920	na	"TUM,AFM"	http://www.pritzkerprize.com/1986/bio	na
1987	Kenzo Tange	Japan	Japan	74	1913	2005	UTJ	http://www.pritzkerprize.com/1987/bio	http://www.tangeweb.com/
1988	Gordon Bunshaft	USA	USA	79	1909	1990	MIT	http://www.pritzkerprize.com/1988-bunshaft/bio	na
1988	Oscar Niemeyer	Brazil	Brazil	81	1907	2012	FUR	http://www.pritzkerprize.com/1988-niemeyer/bio	na
1989	Frank Gehry	Canada	USA	60	1929	na	"USC,GSD"	http://www.pritzkerprize.com/1989/bio	http://www.foga.com/
1990	Aldo Rossi	Italy	Italy	59	1931	1997	MPU	http://www.pritzkerprize.com/1990/bio	na
1991	Robert Venturi	USA	USA	66	1925	na	"PRI,AAR"	http://www.pritzkerprize.com/1991/bio	http://www.vsba.com/
1992	Alvaro Siza	Portugal	Portugal	59	1933	na	UOP	http://www.pritzkerprize.com/1992/bio	na
1993	Fumihiko Maki	Japan	Japan	65	1928	na	"UTJ,CAA,GSD"	http://www.pritzkerprize.com/1993/bio	http://www.maki-and-associates.co.jp/
1994	Christian de Portzamparc	Morocco	France	50	1944	na	EBA	http://www.pritzkerprize.com/1994/bio	http://www.portzamparc.com/en/
1995	Tadao Ando	Japan	Japan	54	1941	na	STA	http://www.pritzkerprize.com/1995/bio	http://www.tadao-ando.com/index_eng.html
1996	Rafael Moneo	Spain	Spain	59	1937	na	"MAD,SPA"	http://www.pritzkerprize.com/1996/bio	na
1997	Sverre Fehn	Norway	Norway	73	1924	2009	OSL	http://www.pritzkerprize.com/1997/bio	na
1998	Renzo Piano	Italy	Italy	61	1937	na	MPU	http://www.pritzkerprize.com/1998/biography	http://www.rpbw.com/
1999	Norman Foster	UK	UK	64	1935	na	"MAN,YAL"	http://www.pritzkerprize.com/1999/bio	http://www.fosterandpartners.com/
2000	Rem Koolhaas	Netherlands	Netherlands	56	1944	na	"AAA,COR"	http://www.pritzkerprize.com/2000/bio	http://oma.eu/
2001	Jacques Herzog	Switzerland	Switzerland	51	1950	na	ETH	http://www.pritzkerprize.com/2001/bio	https://www.herzogdemeuron.com/index.html
2001	Pierre de Meuron	Switzerland	Switzerland	51	1950	na	ETH	http://www.pritzkerprize.com/2001/bio	https://www.herzogdemeuron.com/index.html
2002	Glenn Murcutt	UK	Australia	66	1936	na	UNS	http://www.pritzkerprize.com/2002/bio	http://www.ozetecture.org/glenn-murcutt-projects/
2003	Jorn Utzon	Denmark	Denmark	85	1918	na	RAF	http://www.pritzkerprize.com/2003/bio	http://www.utzoncenter.dk/
2004	Zaha Hadid	Iraq	UK	54	1950	na	"AUB,AAA"	http://www.pritzkerprize.com/2004/bio	
2005	Thom Mayne	USA	USA	61	1944	na	"USC,GSD"	http://www.pritzkerprize.com/2005/bio	http://morphosis.com/
2006	Paulo Mendes da Rocha	Brazil	Brazil	78	1928	na	MAK	http://www.pritzkerprize.com/2006/bio	na
2007	Richard Rogers	Italy	USA	74	1933	na	"AAA,YAL"	http://www.pritzkerprize.com/2007/bio	http://www.rsh-p.com/rshp_home/
2008	Jean Nouvel	France	France	63	1945	na	EBA	http://www.pritzkerprize.com/2008/bio	http://www.jeannouvel.fr/
2009	Peter Zumthor	Switzerland	Switzerland	66	1943	na	"KUN,PRA"	http://www.pritzkerprize.com/2009/bio	na
2010	Kazuto Sejima	Japan	Japan	54	1956	na	JWU	http://www.pritzkerprize.com/2010/bio	na
2010	Ryue Nishizawa	Japan	Japan	44	1966	na	YOK	http://www.pritzkerprize.com/2010/bio	na
2011	Eduardo Souto de Moura	Portugal	Portugal	59	1952	na	UOP	http://www.pritzkerprize.com/2011/biography	na
2012	Wang Shu	China	China	49	1963	na	NAN	http://www.pritzkerprize.com/2012/biography	na
2013	Toyo Ito	Korea	Japan	72	1941	na	UTJ	http://www.pritzkerprize.com/2013/biography	na
2014	Shigeru Ban	Japan	Japan	57	1957	na	"TOK,SCI,COP"	http://www.pritzkerprize.com/2014/biography	na
2015	Frei Otto	Germany	Germany	89	1925	2015	"TUB,VIG"	http://www.pritzkerprize.com/2015/biography	na
