School Code	Name	Country	Count	Year Established
STA	Self-taught	NA	-1	0
ELI	Escuela Libre de Ingenieros	Mexico	1	0
AFA	Academy of Fine Arts Vienna	Austria	1	1726
RAF	Royal Danish Academy of Fine Arts	Denmark	1	1754
AFM	Academy of Fine Arts Munich	Germany	1	1808
FUR	Federal University of Rio de Janeiro	Brazil	1	1816
EBA	Ecole Nationale des Beaux-Arts Paris	France	2	1816
PRI	Princeton University	USA	1	1832
MAD	Technical University of Madrid	Spain	1	1845
AAA	Architectural Association	UK	3	1847
ETH	ETH Zurich	Switzerland	2	1854
COP	Cooper Union	USA	1	1859
MIT	Massachusetts Institute of Technology	USA	2	1865
MPU	Milan Polytechnic University	Italy	2	1865
AUB	American University in Beirut	Lebanon	1	1866
TUM	Technical University of Munich	Germany	1	1868
KUN	Kunstgewerbeschule	Switzerland	1	1868
PEN	University of Pennsylvania	USA	1	1869
COR	Cornell University	USA	2	1871
SPA	Academy of Spain	Italy	1	1873
GSD	Harvard Graduate School of Design	USA	5	1874
YOK	Yokohama National University	Japan	1	1876
TUB	Technical University Berlin	Germany	1	1879
UTJ	University of Tokyo	Japan	3	1886
PRA	Pratt Institute	USA	1	1887
IIT	Illinois Institue of Technology	USA	2	1893
LIV	Unversity of Liverpool	UK	1	1894
AAR	American Academy in Rome	Italy	1	1894
JWU	Japan Women's University	Japan	1	1901
NAN	Nanjing Institute of Architecture	China	1	1902
DUB	University College Dublin	Ireland	1	1911
YAL	Yale University	USA	2	1916
VIG	University of Virginia	USA	1	1919
USC	University of Southern California	USA	2	1925
CAA	Cranbook Academy of Art	Japan	1	1932
OSL	Oslo School of Architecture and Design	Norway	1	1945
TOK	Tokyo University of the Arts	Japan	1	1949
UNS	University of New South Wales	Australia	1	1950
MAK	Mackenzie Presbyterian University	Brazil	1	1952
UCB	University of California Berkeley	USA	1	1959
SCI	Southern California Institute of Architecture	USA	1	1972
UOP	University of Porto	Portugal	2	1979
MAN	University of Manchester	UK	1	1996
